,,Covid-19 Cases,Covid-19 Cases,Covid-19 Cases,Milk,Milk,Milk,AirlinePassengers,AirlinePassengers,AirlinePassengers,Electricity132,Electricity132,Electricity132,Electricity239,Electricity239,Electricity239,Electricity311,Electricity311,Electricity311
,,1,3,7,1,3,6,1,3,6,1,3,7,1,3,7,1,3,7
Model,Metric,,,,,,,,,,,,,,,,,,
PINPOINT_1CONV,MAE,773.15,932.87,3102.04,9.39,12.52,11.95,29.76,33.85,19.33,2.80,2.83,2.79,3.72,4.56,5.74,4.62,5.15,5.79
PINPOINT_1CONV,RMSE,1149.80,1415.11,3893.59,11.36,14.17,14.70,37.21,42.70,23.08,4.54,4.60,4.60,5.69,6.57,8.05,6.82,7.45,8.06
PINPOINT_2CONV,MAE,992.59,1041.97,1485.33,11.21,15.13,13.38,65.83,84.66,103.72,2.78,2.80,2.81,3.92,4.83,5.67,5.35,6.49,6.35
PINPOINT_2CONV,RMSE,1443.93,1541.27,2083.94,14.02,18.28,17.24,89.54,111.88,146.72,4.60,4.64,4.66,6.04,6.89,7.93,7.84,9.17,9.07
Prophet,MAE,4360.67,4485.61,4719.83,9.23,9.36,9.53,33.57,34.31,32.25,3.43,3.45,3.45,5.69,5.81,5.98,6.61,6.77,7.07
Prophet,RMSE,5002.66,5135.11,5397.43,11.88,12.15,12.60,41.29,42.08,40.72,5.09,5.11,5.12,7.61,7.74,7.93,9.01,9.15,9.42
ARIMA,MAE,1530.17,1636.44,1252.83,53.70,41.60,42.13,43.55,40.17,43.86,6.29,5.95,6.85,3.75,4.48,5.12,5.42,5.58,5.44
ARIMA,RMSE,2167.02,2643.37,1808.57,66.20,58.11,55.36,51.01,50.05,55.11,7.62,7.33,8.11,5.93,6.68,7.40,8.26,8.21,7.84
ARIMA_PP,MAE,1533.72,1824.21,1521.69,60.17,37.43,40.47,42.39,38.89,43.92,6.35,5.94,6.84,3.75,4.49,5.12,5.44,5.59,5.44
ARIMA_PP,RMSE,2173.07,2786.94,2222.14,70.00,53.00,53.58,50.09,48.81,54.48,7.67,7.31,8.10,5.93,6.69,7.40,8.28,8.23,7.84
Naive,MAE,1370.91,2044.20,1725.68,39.12,69.50,80.06,45.10,53.80,68.13,6.69,9.38,7.40,3.84,4.67,5.80,5.87,6.92,7.09
Naive,RMSE,1991.70,3121.98,2652.60,46.05,81.57,92.12,52.61,62.78,78.24,10.34,12.63,11.03,6.11,6.76,8.22,9.05,10.01,9.87
