Model,Metric,Covid-19 Cases_1,Covid-19 Cases_3,Covid-19 Cases_7
PINPOINT_1CONV,MAE,773.15,932.87,3102.04
PINPOINT_1CONV,RMSE,1149.8,1415.11,3893.59
PINPOINT_2CONV,MAE,992.59,1041.97,1485.33
PINPOINT_2CONV,RMSE,1443.93,1541.27,2083.94
Prophet,MAE,4360.67,4485.61,4719.83
Prophet,RMSE,5002.66,5135.11,5397.43
ARIMA,MAE,1530.17,1636.44,1252.83
ARIMA,RMSE,2167.02,2643.37,1808.57
ARIMA_PP,MAE,1533.72,1824.21,1521.69
ARIMA_PP,RMSE,2173.07,2786.94,2222.14
Naive,MAE,1370.91,2044.2,1725.68
Naive,RMSE,1991.7,3121.98,2652.6
